t,S,I,R
12.97487139941055,584,98,318
12.986579558572375,583,99,318
13.036054658753924,582,100,318
13.040842330561617,582,99,319
13.048930862103417,581,100,319
13.073903208792084,580,101,319
13.093950904766977,579,102,319
13.100859167588675,578,103,319
13.143601761711505,577,104,319
13.166616341317498,576,105,319
13.2011452928854,575,106,319
13.286377841540295,574,107,319
13.288042345018544,573,108,319
13.293716182388327,573,107,320
13.2938483419828,572,108,320
13.308884865444913,571,109,320
13.31902683663375,570,110,320
13.320233746372336,569,111,320
13.357044175916128,569,110,321
13.358414213990326,569,109,322
13.373767644130481,568,110,322
13.379334056510679,567,111,322
13.381916507616921,567,110,323
13.387310618738079,567,109,324
13.393972355061205,566,110,324
13.398717738838409,565,111,324
13.405100315903777,565,110,325
13.411400912395953,564,111,325
13.441349725397455,564,110,326
13.447901733683272,563,111,326
13.465637856980814,563,110,327
13.492617106233567,562,111,327
13.497018063383948,561,112,327
13.504961285319013,560,113,327
13.531336962510702,559,114,327
13.53892167678121,558,115,327
13.544296207940173,557,116,327
13.546291852980037,556,117,327
13.548147406494223,555,118,327
13.55805158627509,554,119,327
13.56983790801126,554,118,328
13.578804830245424,554,117,329
13.582667403002137,553,118,329
13.585725057150754,552,119,329
13.5890105945481,552,118,330
13.646528691359832,552,117,331
13.652153312349666,552,116,332
13.667164498995627,551,117,332
13.707781153383026,551,116,333
13.734958577497318,550,117,333
13.740683655385997,549,118,333
13.74828906353579,549,117,334
13.779193595871801,549,116,335
13.784783394823789,548,117,335
13.812318063041825,548,116,336
13.828787324683452,548,115,337
13.861889055099281,548,114,338
13.890414381992164,547,115,338
13.897145739013741,547,114,339
13.973396089029665,547,113,340
13.976263568635597,547,112,341
13.978870791726571,547,111,342
13.983066476219383,547,110,343
14.012114362673236,547,109,344
14.064002610200227,547,108,345
14.096975925332623,546,109,345
14.135241542071661,545,110,345
14.13535913821612,545,109,346
14.144776214568557,544,110,346
14.16671117298094,543,111,346
14.188429863030713,542,112,346
14.203227863625347,542,111,347
14.231827490597492,542,110,348
14.240215463158208,542,109,349
14.265089367621758,542,108,350
14.275840291273386,542,107,351
14.325037311333595,541,108,351
14.359019161994476,541,107,352
14.3677564053976,540,108,352
14.369926447395839,539,109,352
14.384096521264427,539,108,353
14.407540503442185,538,109,353
14.421632274352188,538,108,354
14.438868247572293,537,109,354
14.446902627060416,537,108,355
14.458871427710196,537,107,356
14.467720627073334,536,108,356
14.472450470951996,535,109,356
14.542242119311501,534,110,356
14.547166657383544,534,109,357
14.568922289122648,533,110,357
14.584286095808281,533,109,358
14.593577774428306,533,108,359
14.618050112918535,533,107,360
14.666745404512204,532,108,360
14.675679559452105,531,109,360
14.679866554165036,531,108,361
14.683754447604878,531,107,362
14.704760786546542,531,106,363
14.765777231504723,530,107,363
14.805215574068585,530,106,364
14.824206702085435,529,107,364
14.849522775741614,529,106,365
14.862768954550637,529,105,366
14.897091456236973,528,106,366
14.925269645001816,527,107,366
14.931497267675525,527,106,367
14.938972299617724,527,105,368
14.9474491446659,527,104,369
14.961497596118933,527,103,370
14.963269086364841,527,102,371
14.9942008788635,526,103,371
14.997181093356303,525,104,371
15.034985795493787,524,105,371
15.055568528805292,523,106,371
15.060998549179468,522,107,371
15.063112052682392,522,106,372
15.100673668187023,522,105,373
15.109681253167645,521,106,373
15.150623605590045,520,107,373
15.180738378804394,520,106,374
15.211453809320815,519,107,374
15.213782555355957,519,106,375
15.216521259238737,518,107,375
15.224205382392828,518,106,376
15.226507814348755,518,105,377
15.228463464235993,517,106,377
15.326481759176911,517,105,378
15.327445886441337,517,104,379
15.348689251890086,516,105,379
15.356117799430724,515,106,379
15.364837116327468,514,107,379
15.380338765936969,513,108,379
15.414282892026241,513,107,380
15.437832712271952,513,106,381
15.440004457566236,513,105,382
15.482269270311253,512,106,382
15.493155705800499,512,105,383
15.509386697174394,512,104,384
15.529284832980107,511,105,384
15.539113553265812,511,104,385
15.540567192773382,511,103,386
15.57010627779845,510,104,386
15.57690652085051,509,105,386
15.608055556904732,509,104,387
15.637801899687684,508,105,387
15.704692411483338,507,106,387
15.740366348349454,507,105,388
15.774173174196758,506,106,388
15.787574789458848,505,107,388
15.798244686105999,505,106,389
15.801850788211512,504,107,389
15.811138615214833,503,108,389
15.842947239785746,503,107,390
15.861741559242533,502,108,390
15.877581157454346,501,109,390
15.923367644207772,501,108,391
15.971686441238326,501,107,392
15.979102883074047,501,106,393
16.007021144152656,501,105,394
16.031634805458896,500,106,394
16.060696199330472,500,105,395
16.077354176319844,499,106,395
16.085571074999123,498,107,395
16.132677777772287,497,108,395
16.14017322345641,496,109,395
16.143867454501628,495,110,395
16.180957496671482,495,109,396
16.181378985748555,494,110,396
16.197243940884437,493,111,396
16.20273977961599,492,112,396
16.24031025052092,492,111,397
16.262968245164824,492,110,398
16.311053352523967,491,111,398
16.332449510817977,490,112,398
16.34167752151227,489,113,398
16.34387395786504,489,112,399
16.376652263523223,488,113,399
16.394752548260495,487,114,399
16.398006521964998,487,113,400
16.41116776485333,487,112,401
16.41942040646208,487,111,402
16.44438302844261,487,110,403
16.445922630191244,487,109,404
16.452869518766807,487,108,405
16.45828615039678,487,107,406
16.471646533098667,487,106,407
16.492900283406637,487,105,408
16.507830097910944,486,106,408
16.526306598516562,486,105,409
16.529531136189675,486,104,410
16.532139011837835,486,103,411
16.57355761935089,486,102,412
16.583872158653293,485,103,412
16.676784576561364,485,102,413
16.680488183792896,484,103,413
16.68718010081172,483,104,413
16.6932316799504,483,103,414
16.698840807206828,483,102,415
16.70305554864147,482,103,415
16.71004180008049,482,102,416
16.711072549827826,481,103,416
16.7376078839244,480,104,416
16.77951779334916,480,103,417
16.821747668706674,480,102,418
16.837141025877116,479,103,418
16.864861059056803,479,102,419
16.911923192108343,479,101,420
16.917820948403367,478,102,420
16.953854019610606,478,101,421
16.95772958318063,477,102,421
16.959153297501242,477,101,422
16.960158359071343,477,100,423
16.97750868702379,476,101,423
16.985023907988513,475,102,423
17.005889279182984,475,101,424
17.016074792851054,475,100,425
17.07170429961684,475,99,426
17.098909269784997,475,98,427
17.102795109632197,475,97,428
17.157335024957753,474,98,428
17.160960156920222,473,99,428
17.175163812564147,473,98,429
17.18360460977753,473,97,430
17.227220393019117,473,96,431
17.230584521774936,473,95,432
17.254678970479226,472,96,432
17.282269573679297,471,97,432
17.360361128978422,470,98,432
17.37180551912172,470,97,433
17.392273245578142,469,98,433
17.39857295100925,468,99,433
17.400017717118853,468,98,434
17.524416877978233,468,97,435
17.54047044281483,467,98,435
17.552874608666027,467,97,436
17.57593087491083,466,98,436
17.576703696738537,465,99,436
17.62974850666847,464,100,436
17.63147974584915,464,99,437
17.65986940179157,463,100,437
17.668032702113795,463,99,438
17.66888800118332,462,100,438
17.68441983677404,462,99,439
17.69935309654328,461,100,439
17.715072835535764,460,101,439
17.723653957382133,459,102,439
17.73238841931991,458,103,439
17.736452949595193,458,102,440
17.744421735909043,458,101,441
17.75243038194383,458,100,442
17.77484142537127,458,99,443
17.787245055395285,457,100,443
17.794453452674272,457,99,444
17.832046781219184,456,100,444
17.864789067365198,456,99,445
17.873039836440658,455,100,445
17.886890780352328,454,101,445
17.889633181670426,453,102,445
17.897732703916404,452,103,445
17.914326492320335,452,102,446
17.942381909642997,451,103,446
17.949758210721313,450,104,446
17.981177042836894,449,105,446
17.982573897946185,449,104,447
17.994602860479244,448,105,447
17.996395666291793,448,104,448
18.025398115462387,448,103,449
18.029286865672344,448,102,450
18.048988866029497,447,103,450
18.0696042118625,447,102,451
18.07075528696789,446,103,451
18.100602950818033,445,104,451
18.129877768469385,445,103,452
18.14993524769812,444,104,452
18.166446982832383,443,105,452
18.171599658991457,442,106,452
18.173430274468814,441,107,452
18.17983892051998,440,108,452
18.247314233024124,440,107,453
18.25466235040105,439,108,453
18.26698898976602,439,107,454
18.27134480130038,439,106,455
18.271542276519995,438,107,455
18.28381854484952,438,106,456
18.336326678004475,437,107,456
18.407028477805106,437,106,457
18.421036388650716,437,105,458
18.434658428154968,436,106,458
18.457392300618576,435,107,458
18.462229050690517,435,106,459
18.47050129972625,435,105,460
18.49538598935208,435,104,461
18.53478267912934,434,105,461
18.559431003125916,433,106,461
18.572955045824575,433,105,462
18.58064238012563,432,106,462
18.598704923632425,431,107,462
18.615211243198566,431,106,463
18.708072017474322,430,107,463
18.750537261307784,429,108,463
18.757637486714525,429,107,464
18.764290737009986,428,108,464
18.789835018392164,427,109,464
18.791580005002874,427,108,465
18.817197361923267,427,107,466
18.84059796025575,426,108,466
18.866307692027952,426,107,467
18.883181125567607,425,108,467
18.903718120144628,424,109,467
18.960942872542194,423,110,467
19.018623224469938,423,109,468
19.020287439160416,423,108,469
19.056760176953613,423,107,470
19.060814915660185,422,108,470
19.07875408181597,422,107,471
19.08616148860237,422,106,472
19.09044776721288,422,105,473
19.108193670515224,421,106,473
19.13026985851221,421,105,474
19.190457751813003,420,106,474
19.23136455582831,420,105,475
19.35544667150585,420,104,476
19.37620353722946,419,105,476
19.40140100035277,418,106,476
19.404191270843672,417,107,476
19.419315211878832,417,106,477
19.44851443267042,417,105,478
19.502567826689504,417,104,479
19.517127593392036,416,105,479
19.543029735114093,416,104,480
19.552154387418017,416,103,481
19.577130812849827,416,102,482
19.589587997097095,416,101,483
19.591237072138046,415,102,483
19.627399559660628,414,103,483
19.638748914580212,414,102,484
19.64307364885397,413,103,484
19.647411633772094,413,102,485
19.652248791724023,413,101,486
19.7592944724864,412,102,486
19.810536128352418,412,101,487
19.89227676856723,412,100,488
19.90785070256195,411,101,488
19.940332314729854,411,100,489
19.954480253442853,411,99,490
19.978882246741822,411,98,491
20.02941671435384,410,99,491
20.077804587986762,409,100,491
20.086755339682753,409,99,492
20.231495403090594,409,98,493
20.242045642029513,409,97,494
20.283455277726112,408,98,494
20.28700888257016,407,99,494
20.2887968123207,407,98,495
20.309673429008033,407,97,496
20.310886136076565,406,98,496
20.329480223826547,405,99,496
20.38638237936435,405,98,497
20.39693711964569,404,99,497
20.407472594425684,404,98,498
20.414926836271132,404,97,499
20.434244178014996,404,96,500
20.44347723255475,404,95,501
20.484755685231733,403,96,501
20.521141739130258,402,97,501
20.56177914336752,401,98,501
20.580442246373,400,99,501
20.58548265574501,400,98,502
20.585523942848777,400,97,503
20.598087484764793,400,96,504
20.608843412111273,399,97,504
20.646769623151503,398,98,504
20.712778626055687,397,99,504
20.7239489004434,397,98,505
20.736659945994578,396,99,505
20.75215387614233,396,98,506
20.7791768798073,396,97,507
20.801200320473846,396,96,508
20.808128473610125,396,95,509
20.847229136244536,395,96,509
20.880361499723406,395,95,510
20.90301902560034,394,96,510
20.92132953741941,394,95,511
20.945943086516973,393,96,511
20.986769697053177,393,95,512
21.056646570046304,392,96,512
21.072509591167957,391,97,512
21.078814439118872,390,98,512
21.086195672177965,389,99,512
21.098101766796525,388,100,512
21.113851723965166,388,99,513
21.12432539931369,388,98,514
21.16392845097367,387,99,514
21.169007818361763,387,98,515
21.204418858667,386,99,515
21.24724407222837,386,98,516
21.26736723770283,386,97,517
21.271034040306805,386,96,518
21.314546007909627,386,95,519
21.349106524692804,386,94,520
21.375189194025374,385,95,520
21.382389579015054,385,94,521
21.404483733776733,385,93,522
21.454732214683332,384,94,522
21.457243048686657,384,93,523
21.46425051809854,384,92,524
21.495736110456864,383,93,524
21.50288741483432,382,94,524
21.512539528482712,381,95,524
21.514638258952466,380,96,524
