t,S,I,R
8.68291153405629,747,179,74
8.689930663049278,746,180,74
8.690937135781427,745,181,74
8.711680594016844,744,182,74
8.716902910371386,744,181,75
8.720882295388348,744,180,76
8.735697752443945,743,181,76
8.738864777213877,742,182,76
8.753000224512155,741,183,76
8.758774479917234,740,184,76
8.77487152223921,739,185,76
8.781605269524656,738,186,76
8.783596399173774,737,187,76
8.784962606297144,736,188,76
8.787912647300235,735,189,76
8.7880966118276,734,190,76
8.791872803434801,733,191,76
8.797695645509764,732,192,76
8.805719100027178,731,193,76
8.810273738709732,730,194,76
8.818098931979936,729,195,76
8.821709780092197,728,196,76
8.827440886784203,727,197,76
8.833764315173118,726,198,76
8.848864534040967,725,199,76
8.849718753600209,724,200,76
8.85004282213213,723,201,76
8.853591836494463,723,200,77
8.85923825989401,722,201,77
8.859351768062423,721,202,77
8.872587278781612,720,203,77
8.873480040647712,720,202,78
8.892652805758638,719,203,78
8.906879270245417,718,204,78
8.916063511510778,717,205,78
8.920037940056481,716,206,78
8.927053302346042,715,207,78
8.935402851453548,714,208,78
8.953510258150212,713,209,78
8.967148763070917,712,210,78
8.981780938128383,711,211,78
8.988899532031404,710,212,78
8.995818698868392,709,213,78
9.013838780706914,709,212,79
9.033953826042788,709,211,80
9.040088086179363,709,210,81
9.050695557351945,708,211,81
9.091210391295268,707,212,81
9.097511116749914,706,213,81
9.108004826437035,705,214,81
9.118639748645993,704,215,81
9.126450994785337,704,214,82
9.128826929542779,703,215,82
9.137857146520297,702,216,82
9.158373887615157,702,215,83
9.168129921599062,701,216,83
9.207217126711114,701,215,84
9.217054678390816,700,216,84
9.220253531207206,700,215,85
9.224644778421965,699,216,85
9.234020871346354,698,217,85
9.237314611193318,698,216,86
9.248104560770564,698,215,87
9.263338215520283,697,216,87
9.266654062754178,697,215,88
9.29211338790813,697,214,89
9.316502515127034,697,213,90
9.322072225253734,696,214,90
9.323126211537117,695,215,90
9.332858925022139,694,216,90
9.34384528304114,693,217,90
9.350904643362076,692,218,90
9.35547907171275,691,219,90
9.357488906057545,690,220,90
9.368123959248823,689,221,90
9.37174776152807,689,220,91
9.375974664483945,689,219,92
9.377101040362941,689,218,93
9.379059561726443,688,219,93
9.389529397459402,687,220,93
9.396186786971143,686,221,93
9.411307840523763,685,222,93
9.425994361663841,685,221,94
9.428090359793588,684,222,94
9.433313751412301,684,221,95
9.438672372135642,684,220,96
9.444328047159184,683,221,96
9.454273127903827,683,220,97
9.455823960430518,682,221,97
9.472252853243509,681,222,97
9.473467357406614,680,223,97
9.474622413377185,680,222,98
9.479339489187192,679,223,98
9.493294603713483,679,222,99
9.494382936502683,678,223,99
9.503874434672248,677,224,99
9.507256618018216,676,225,99
9.514087385835404,675,226,99
9.529127329186622,674,227,99
9.545085792620913,673,228,99
9.549254078816386,672,229,99
9.556609638531606,671,230,99
9.5666705861495,670,231,99
9.588408744599079,670,230,100
9.590936175586966,669,231,100
9.596387363782366,668,232,100
9.603669228119474,667,233,100
9.60398431924884,667,232,101
9.61164787024117,666,233,101
