t,S,I,R
15.916702826736724,615,150,235
15.934091745542286,614,151,235
15.951195726654293,614,150,236
15.962879118280439,613,151,236
15.97252464471125,612,152,236
15.975543104988434,611,153,236
15.97661845144452,610,154,236
15.980393269187317,609,155,236
16.020243722809706,609,154,237
16.024571206595095,608,155,237
16.031850053405858,608,154,238
16.034414879770736,608,153,239
16.034530824996835,607,154,239
16.041758267524088,607,153,240
16.072582780949237,606,154,240
16.114200472796607,606,153,241
16.122422374255127,606,152,242
16.1303944664117,605,153,242
16.14373586699934,604,154,242
16.146582026542838,604,153,243
16.151435811957324,604,152,244
16.165994440890483,603,153,244
16.188695061977008,602,154,244
16.202938710681515,601,155,244
16.21077616504741,601,154,245
16.215217757134905,600,155,245
16.22568365037903,599,156,245
16.235274595738563,599,155,246
16.289071645080647,598,156,246
16.313741887093325,597,157,246
16.31787812324118,597,156,247
16.321742701690095,596,157,247
16.336621066893308,595,158,247
16.337640191117952,595,157,248
16.352558652598578,595,156,249
16.3661465342752,594,157,249
16.38111631067615,594,156,250
16.39091248058882,593,157,250
16.402868388527843,592,158,250
16.4362727108865,591,159,250
16.470032553459085,591,158,251
16.47100385865676,591,157,252
16.49222992014524,591,156,253
16.494582795943728,590,157,253
16.50502112007818,590,156,254
16.50931875774641,590,155,255
16.511798228484274,589,156,255
16.52191089888702,588,157,255
16.53452804206678,587,158,255
16.568418032061615,586,159,255
16.591520708362463,585,160,255
16.660566401763674,585,159,256
16.672078542229347,584,160,256
16.686097391422635,583,161,256
16.687654577528225,582,162,256
16.696120529756772,582,161,257
16.712413239710642,582,160,258
16.742476381133514,582,159,259
16.75054748072132,581,160,259
16.764951204072542,580,161,259
16.76995034645281,580,160,260
16.783587359106978,580,159,261
16.790365251248783,580,158,262
16.79125933133838,579,159,262
16.810931896551235,578,160,262
16.817126533441538,577,161,262
16.819451754332754,576,162,262
16.821792039360265,575,163,262
16.82436282076378,574,164,262
16.880404761991816,573,165,262
16.907328446904017,573,164,263
16.95011533261008,573,163,264
16.95823626400659,572,164,264
16.975235863667475,572,163,265
16.982612003768853,571,164,265
16.99514184466089,571,163,266
17.020985567341175,570,164,266
17.045827506796325,569,165,266
17.050440276188084,569,164,267
17.124736421697534,569,163,268
17.130130123656,569,162,269
17.151213701294477,568,163,269
17.153030146076553,567,164,269
17.15394760085111,567,163,270
17.164617036691926,567,162,271
17.165234278729613,566,163,271
17.17473560737719,565,164,271
17.203924595270294,565,163,272
17.209317031201927,564,164,272
17.214720495183396,564,163,273
17.21852824804084,564,162,274
17.228355472716164,564,161,275
17.233033013259163,564,160,276
17.25385651840425,563,161,276
17.272286920117175,562,162,276
17.292953313867233,561,163,276
17.302481971686156,560,164,276
17.305065384451034,560,163,277
17.305086460516275,560,162,278
17.311473586123473,560,161,279
17.3169189870536,559,162,279
17.336196895290705,558,163,279
17.369881566516536,557,164,279
17.375603893145353,557,163,280
17.382089299639144,556,164,280
17.390025215080676,556,163,281
17.403810513845627,556,162,282
17.414999377454,555,163,282
17.41846480367544,555,162,283
17.437938493941903,554,163,283
17.4545083398698,554,162,284
17.465790792007958,553,163,284
17.474946527979153,553,162,285
17.487200925906627,552,163,285
17.50761185028116,552,162,286
17.54239571006835,551,163,286
17.55032495200965,550,164,286
17.55348934860578,549,165,286
17.55720885721377,548,166,286
17.56323219077784,547,167,286
17.57123107093486,547,166,287
17.57652883360295,546,167,287
17.596258490737963,545,168,287
17.598799129200316,545,167,288
17.61643738430488,544,168,288
17.6378543861198,544,167,289
17.647876033697152,544,166,290
17.64969441266931,544,165,291
17.67117910973436,544,164,292
17.68816910306232,544,163,293
17.700934240879906,543,164,293
17.704473353944984,543,163,294
17.715284621199213,543,162,295
17.73976115032944,542,163,295
17.740989558783806,542,162,296
17.74440238120087,542,161,297
17.759666030032655,541,162,297
17.763148305884293,540,163,297
17.767868913708508,539,164,297
17.7688997668193,538,165,297
17.788956570794493,538,164,298
17.82430575046822,537,165,298
17.86889150737794,537,164,299
17.8857927555581,537,163,300
17.894752966230463,536,164,300
17.901825093928665,535,165,300
17.92093834103531,535,164,301
17.93378773480581,535,163,302
17.93606225686481,534,164,302
17.962155770675782,534,163,303
17.96320727038843,534,162,304
17.96579069549732,534,161,305
17.992293159878127,533,162,305
17.996942069478216,532,163,305
18.00835699995789,531,164,305
18.013269871513252,530,165,305
18.013382634588826,529,166,305
18.02317082235457,528,167,305
18.02776152095748,528,166,306
18.02807510881563,528,165,307
18.030106867834018,527,166,307
18.037506770094367,527,165,308
18.04722512403779,527,164,309
18.053289505122773,527,163,310
18.060496898186575,526,164,310
18.061544549929586,525,165,310
18.07260210792661,525,164,311
18.080953442062572,525,163,312
18.085566041709576,525,162,313
18.08763313254552,524,163,313
18.09124613907408,524,162,314
18.13346685173516,523,163,314
18.146035541530072,523,162,315
18.14643013786021,522,163,315
18.217805629309783,521,164,315
18.247992473545494,520,165,315
18.252756304540135,519,166,315
18.25515021447076,519,165,316
18.263443532090285,519,164,317
18.268485382122567,519,163,318
18.29262782236462,518,164,318
18.29850066993426,518,163,319
18.35836937113007,518,162,320
18.380033926764973,517,163,320
18.38372424030068,517,162,321
18.400247591116653,517,161,322
18.41152249372269,516,162,322
18.41467088958617,516,161,323
18.419311473973526,515,162,323
18.444177511250896,515,161,324
18.457184223313337,515,160,325
18.46657908465547,514,161,325
18.46868763662673,513,162,325
18.47696670668785,513,161,326
18.485849762627783,512,162,326
18.498060194398906,512,161,327
18.507404205529507,511,162,327
18.523785745333363,510,163,327
18.53785147904128,510,162,328
18.569380555165182,510,161,329
18.57719617578543,509,162,329
18.58191644890536,509,161,330
18.628463208372935,509,160,331
18.629238199292093,508,161,331
18.629251496550243,508,160,332
18.63012860927356,507,161,332
18.638889884875912,506,162,332
18.657104057312374,505,163,332
18.673708956506296,504,164,332
18.676035975177392,503,165,332
18.69212050491205,503,164,333
18.702165945510565,503,163,334
18.71877247866656,502,164,334
18.720898096432286,501,165,334
18.724046043207515,500,166,334
18.74043115120391,499,167,334
18.7698867417336,498,168,334
18.789960252769113,497,169,334
18.790708448570516,497,168,335
18.793695637141163,496,169,335
18.808935665604665,495,170,335
18.824056123853723,495,169,336
18.835760343263345,494,170,336
18.84000742232475,494,169,337
18.851292917971655,493,170,337
18.866859379048027,492,171,337
18.875060009930067,492,170,338
18.876381150056734,491,171,338
18.878403473339535,490,172,338
18.890347951226964,490,171,339
18.898420605974614,490,170,340
18.899779256516815,489,171,340
18.89995685123821,489,170,341
18.90147081366428,489,169,342
18.922917185464712,489,168,343
18.923423366975033,488,169,343
18.94708201755542,488,168,344
