num_repairers,replication,seed,time_to_failure,failed,avg_repair_queue,repairer_utilization
1,80,679,47.69254123688996,true,0.26302316516103186,0.5073072799489863
1,81,680,12.885132615541213,true,0.2250067374183008,0.5090674517821876
1,82,681,27.647237484997355,true,0.22202858392860464,0.5905279537555606
1,83,682,31.36004619017418,true,0.3981187528939398,0.5965416691350836
1,84,683,11.526234617468184,true,0.3933612135479841,0.2748739652729418
1,85,684,22.493109859437613,true,0.36207320919595154,0.730597105195248
1,86,685,10.351561668415005,true,0.053892535314095755,0.2322564437975857
1,87,686,8.812889309152816,true,0.24365384313675975,0.348643497104883
1,88,687,14.689777709295447,true,0.294700950710488,0.5909921116283636
1,89,688,18.24501003907675,true,0.2754398788475572,0.48254554444304937
1,90,689,17.725206676361303,true,0.43430603797512846,0.8125704432406926
1,91,690,30.369644259366886,true,0.7470945707330988,0.7347400026725915
1,92,691,5.245555635344519,true,0.6091445353222775,0.7067868257687498
1,93,692,1.8336880014319417,true,0.8417124256824596,0.87832038026214
1,94,693,35.56151326703139,true,0.6531734190421529,0.7168073596197568
1,95,694,20.830273702745107,true,0.22029756526737942,0.5414139356643969
1,96,695,18.147298167210643,true,0.3217071528407378,0.6770174018700494
1,97,696,16.46115778158404,true,0.4014990249272952,0.5236338961404111
1,98,697,0.9068132341696908,true,0.3146243779158903,0.5141008405612972
1,99,698,40.34464010425412,true,0.4572985960911033,0.492266930564128
1,100,699,11.055250999073209,true,0.3474736549593864,0.3975145441597624
2,1,700,212.0167384559272,true,0.04030262653820032,0.3817005273280482
2,2,701,26.407206067840583,true,0.08480597346491303,0.5507587789675779
2,3,702,15.776456451281224,true,0.10702201607663923,0.5701038860220654
2,4,703,32.84678730196856,true,0.044161630663812367,0.20754641053362166
2,5,704,55.094817981301865,true,0.054713992667814196,0.4572377441916887
2,6,705,24.365754028515905,true,0.16368165642070764,0.5247533103873092
2,7,706,21.21329410240958,true,0.008317562932060065,0.3735910888774114
2,8,707,63.09328962990029,true,0.03595893485759582,0.38110014499805606
2,9,708,39.00290955012821,true,0.1099701237086598,0.4057365075707319
2,10,709,29.655023039324238,true,0.02782755349510319,0.5239801818048404
2,11,710,8.54551721707869,true,0.019356027123218444,0.3048783364910888
2,12,711,17.430225119022168,true,0.03319852816392315,0.2163010532511758
2,13,712,58.87987788364664,true,0.05798388784548134,0.44221604127988523
2,14,713,14.68996590770005,true,0.013330108276598057,0.3795988073457013
2,15,714,10.382468157329921,true,0.11410641702894846,0.4075087704463541
2,16,715,52.63386455562359,true,0.06366732988931627,0.37742640871460503
2,17,716,23.197775809237893,true,0.0496526219498603,0.3369330910783674
2,18,717,29.685909386704225,true,0.08019065226202741,0.4426238825365469
2,19,718,14.375915558943277,true,0.006284483014433077,0.31278930996942567
2,20,719,27.64803338551833,true,0.08294137974666141,0.587058078042778
2,21,720,10.934806582534847,true,0.007990056442242823,0.42792253754961873
2,22,721,15.600506566806432,true,0.061740965258092466,0.4948925493958116
2,23,722,9.271923238579138,true,0.01759210188971686,0.22443412765740328
2,24,723,32.1606875272951,true,0.01909159163328973,0.2524272625759913
2,25,724,87.12610782274083,true,0.012670772682381936,0.30838571559122896
2,26,725,59.17459493795164,true,0.03181096423312376,0.3944095900587143
2,27,726,42.368725978175654,true,0.01024529895942198,0.40288347625429755
2,28,727,9.237251230845034,true,0.1718645991707996,0.706805825695571
2,29,728,7.150914328821218,true,0.2306878104689749,0.5046337401138103
2,30,729,97.25533249447253,true,0.022036295063315333,0.3989030486698788
2,31,730,50.68022780046773,true,0.021025795415246382,0.43915935438808035
2,32,731,5.098614474013129,true,0.23458401496401776,0.4662428959283426
2,33,732,18.36486807250064,true,0.04334717618638576,0.6099787535894386
2,34,733,57.66005183681495,true,0.06630021056532981,0.43127053907712615
2,35,734,3.80744665923602,true,0.17905008219527557,0.5255208351579045
2,36,735,19.681751022224933,true,0.014338197536541496,0.4315536823933382
2,37,736,31.589674328522037,true,0.0008201546892085934,0.4374413310780466
2,38,737,14.791485874681308,true,0.17805738240676683,0.3824111645649785
2,39,738,18.254159798653816,true,0.031153850263155626,0.6050329999384338
2,40,739,76.82856065852778,true,0.06009823242002541,0.3963184135971887
2,41,740,28.653657775630943,true,0.004493984196879796,0.20569163488136794
2,42,741,5.7304312516078735,true,0.027608070935777506,0.1373676671981165
2,43,742,18.7223021048589,true,0.11782417527921936,0.5392065287643781
2,44,743,23.57008160971982,true,0.14752765577403595,0.5174769174813806
2,45,744,28.076913042155052,true,0.12729506227090853,0.6257106623699638
2,46,745,33.0499721507168,true,0.00640480329995801,0.3389514901389132
