customer_id,event,time,queue_length,busy_servers,waiting_time,service_time,system_time
60,departure,91.10796841747866,0,1,1.1657174759838256,0.596958082363451,1.7626755583472828
59,departure,91.22721723231282,0,0,0.771185731794759,1.3225751479420809,2.093760879736834
61,arrival,92.35980967835778,0,0,NaN,NaN,NaN
61,service_start,92.35980967835778,0,1,0.0,1.6047278822600974,NaN
62,arrival,92.62882153096564,0,1,NaN,NaN,NaN
62,service_start,92.62882153096564,0,2,0.0,4.9153145403985885,NaN
63,arrival,93.42754967506838,1,2,NaN,NaN,NaN
64,arrival,93.90866461206957,2,2,NaN,NaN,NaN
61,departure,93.96453756061787,2,1,0.0,1.6047278822600974,1.604727882260093
63,service_start,93.96453756061787,1,2,0.5369878855494932,2.703427948055001,NaN
65,arrival,94.23276195823995,2,2,NaN,NaN,NaN
66,arrival,96.16702984650058,3,2,NaN,NaN,NaN
67,arrival,96.5560961327119,4,2,NaN,NaN,NaN
63,departure,96.66796550867286,4,1,0.5369878855494932,2.703427948055001,3.2404158336044873
64,service_start,96.66796550867286,3,2,2.7593008966032926,1.8038907457043571,NaN
68,arrival,96.8923520036099,4,2,NaN,NaN,NaN
62,departure,97.54413607136422,4,1,0.0,4.9153145403985885,4.915314540398583
65,service_start,97.54413607136422,3,2,3.3113741131242733,0.9471174893636078,NaN
69,arrival,98.08876651654529,4,2,NaN,NaN,NaN
70,arrival,98.13494747971596,5,2,NaN,NaN,NaN
64,departure,98.47185625437722,5,1,2.7593008966032926,1.8038907457043571,4.563191642307643
66,service_start,98.47185625437722,4,2,2.3048264078766323,1.4547396066955132,NaN
65,departure,98.49125356072783,4,1,3.3113741131242733,0.9471174893636078,4.258491602487879
67,service_start,98.49125356072783,3,2,1.935157428015927,2.7015863650808756,NaN
71,arrival,99.14853418525063,4,2,NaN,NaN,NaN
66,departure,99.92659586107273,4,1,2.3048264078766323,1.4547396066955132,3.759566014572144
68,service_start,99.92659586107273,3,2,3.034243857462826,0.85569343534569,NaN
68,departure,100.78228929641841,3,1,3.034243857462826,0.85569343534569,3.8899372928085114
69,service_start,100.78228929641841,2,2,2.6935227798731205,0.9033078757478578,NaN
67,departure,101.1928399258087,2,1,1.935157428015927,2.7015863650808756,4.636743793096798
70,service_start,101.1928399258087,1,2,3.057892446092737,6.524823498395477,NaN
72,arrival,101.42016715937558,2,2,NaN,NaN,NaN
69,departure,101.68559717216627,2,1,2.6935227798731205,0.9033078757478578,3.596830655620977
71,service_start,101.68559717216627,1,2,2.537062986915643,5.586455457615066,NaN
73,arrival,102.27934723024107,2,2,NaN,NaN,NaN
74,arrival,102.47635628895546,3,2,NaN,NaN,NaN
75,arrival,102.83498163616316,4,2,NaN,NaN,NaN
76,arrival,103.24590422882913,5,2,NaN,NaN,NaN
77,arrival,105.70610449261844,6,2,NaN,NaN,NaN
78,arrival,105.71982272656982,7,2,NaN,NaN,NaN
79,arrival,105.72112288977493,8,2,NaN,NaN,NaN
80,arrival,106.90267896774559,9,2,NaN,NaN,NaN
71,departure,107.27205262978133,9,1,2.537062986915643,5.586455457615066,8.123518444530703
72,service_start,107.27205262978133,8,2,5.8518854704057475,2.6129498258899413,NaN
70,departure,107.71766342420418,8,1,3.057892446092737,6.524823498395477,9.582715944488214
73,service_start,107.71766342420418,7,2,5.438316193963104,2.068614206013309,NaN
81,arrival,107.78743333649001,8,2,NaN,NaN,NaN
82,arrival,107.84262515816941,9,2,NaN,NaN,NaN
83,arrival,109.05298426191241,10,2,NaN,NaN,NaN
84,arrival,109.60471324342876,11,2,NaN,NaN,NaN
85,arrival,109.72300600276935,12,2,NaN,NaN,NaN
73,departure,109.78627763021748,12,1,5.438316193963104,2.068614206013309,7.506930399976412
74,service_start,109.78627763021748,11,2,7.309921341262026,2.015137108333883,NaN
72,departure,109.88500245567127,11,1,5.8518854704057475,2.6129498258899413,8.46483529629569
75,service_start,109.88500245567127,10,2,7.050020819508106,0.3182670259491523,NaN
75,departure,110.20326948162042,10,1,7.050020819508106,0.3182670259491523,7.36828784545726
76,service_start,110.20326948162042,9,2,6.957365252791291,0.011248392316736577,NaN
76,departure,110.21451787393715,9,1,6.957365252791291,0.011248392316736577,6.968613645108022
77,service_start,110.21451787393715,8,2,4.508413381318718,0.5668975315724065,NaN
77,departure,110.78141540550956,8,1,4.508413381318718,0.5668975315724065,5.075310912891126
78,service_start,110.78141540550956,7,2,5.061592678939746,0.8022608091346312,NaN
78,departure,111.5836762146442,7,1,5.061592678939746,0.8022608091346312,5.863853488074383
79,service_start,111.5836762146442,6,2,5.862553324869268,0.8272992130504255,NaN
74,departure,111.80141473855137,6,1,7.309921341262026,2.015137108333883,9.325058449595915
80,service_start,111.80141473855137,5,2,4.898735770805786,0.6001927782678752,NaN
86,arrival,112.25383464141761,6,2,NaN,NaN,NaN
80,departure,112.40160751681925,6,1,4.898735770805786,0.6001927782678752,5.498928549073668
81,service_start,112.40160751681925,5,2,4.614174180329243,1.580305820913132,NaN
79,departure,112.41097542769462,5,1,5.862553324869268,0.8272992130504255,6.689852537919691
82,service_start,112.41097542769462,4,2,4.568350269525212,2.1864489999207954,NaN
81,departure,113.98191333773238,4,1,4.614174180329243,1.580305820913132,6.194480001242368
83,service_start,113.98191333773238,3,2,4.9289290758199655,2.0215778559730886,NaN
87,arrival,114.22038694416149,4,2,NaN,NaN,NaN
88,arrival,114.24421830744156,5,2,NaN,NaN,NaN
82,departure,114.59742442761542,5,1,4.568350269525212,2.1864489999207954,6.754799269446011
84,service_start,114.59742442761542,4,2,4.9927111841866605,3.9445542665967395,NaN
89,arrival,114.91417302193354,5,2,NaN,NaN,NaN
90,arrival,115.60744575510695,6,2,NaN,NaN,NaN
83,departure,116.00349119370547,6,1,4.9289290758199655,2.0215778559730886,6.950506931793058
85,service_start,116.00349119370547,5,2,6.280485190936119,0.6720929235380666,NaN
91,arrival,116.08562550397437,6,2,NaN,NaN,NaN
92,arrival,116.32372865155169,7,2,NaN,NaN,NaN
85,departure,116.67558411724355,7,1,6.280485190936119,0.6720929235380666,6.952578114474193
86,service_start,116.67558411724355,6,2,4.4217494758259335,2.8652465844314823,NaN
84,departure,118.54197869421216,6,1,4.9927111841866605,3.9445542665967395,8.9372654507834
87,service_start,118.54197869421216,5,2,4.321591750050672,2.651776864239043,NaN
93,arrival,118.58928482329404,6,2,NaN,NaN,NaN
86,departure,119.54083070167503,6,1,4.4217494758259335,2.8652465844314823,7.286996060257422
88,service_start,119.54083070167503,5,2,5.2966123942334775,2.225504869495221,NaN
94,arrival,120.2982317563385,6,2,NaN,NaN,NaN
95,arrival,120.85732149555938,7,2,NaN,NaN,NaN
87,departure,121.1937555584512,7,1,4.321591750050672,2.651776864239043,6.973368614289711
89,service_start,121.1937555584512,6,2,6.279582536517665,2.1082612605785083,NaN
88,departure,121.76633557117026,6,1,5.2966123942334775,2.225504869495221,7.522117263728703
90,service_start,121.76633557117026,5,2,6.158889816063308,1.6346599881691752,NaN
