num_repairers,time,event,operating_machines,spares_available,repair_queue,repairers_busy,broken_total,failed
4,32.42050331910772,machine_failure_start_repair,5,2,0,1,1,false
4,33.0960289726977,repair_complete,5,3,0,0,0,false
4,39.218900539912035,machine_failure_start_repair,5,2,0,1,1,false
4,39.89432823381222,machine_failure_start_repair,5,1,0,2,2,false
4,40.66661191370382,repair_complete,5,2,0,1,1,false
4,41.49230572413534,repair_complete,5,3,0,0,0,false
4,42.866795167144296,machine_failure_start_repair,5,2,0,1,1,false
4,45.63416617584391,repair_complete,5,3,0,0,0,false
4,46.208149217917196,machine_failure_start_repair,5,2,0,1,1,false
4,46.884304573853896,machine_failure_start_repair,5,1,0,2,2,false
4,47.25057061701787,repair_complete,5,2,0,1,1,false
4,47.48290234446959,machine_failure_start_repair,5,1,0,2,2,false
4,47.64068936728874,repair_complete,5,2,0,1,1,false
4,49.29009600566457,machine_failure_start_repair,5,1,0,2,2,false
4,51.89275356681067,repair_complete,5,2,0,1,1,false
4,54.23647095445714,repair_complete,5,3,0,0,0,false
4,54.344607649802384,machine_failure_start_repair,5,2,0,1,1,false
4,54.641385604443855,repair_complete,5,3,0,0,0,false
4,57.84993914233112,machine_failure_start_repair,5,2,0,1,1,false
4,58.435010163554374,machine_failure_start_repair,5,1,0,2,2,false
4,59.423619596109255,machine_failure_start_repair,5,0,0,3,3,false
4,60.13166657704391,repair_complete,5,1,0,2,2,false
4,60.52948207946909,machine_failure_start_repair,5,0,0,3,3,false
4,60.77631773458971,repair_complete,5,1,0,2,2,false
4,61.353058379854374,machine_failure_start_repair,5,0,0,3,3,false
4,61.595622616044515,repair_complete,5,1,0,2,2,false
4,62.267297242233056,repair_complete,5,2,0,1,1,false
4,62.462922773178796,machine_failure_start_repair,5,1,0,2,2,false
4,62.732446063471116,machine_failure_start_repair,5,0,0,3,3,false
4,63.036510982169766,repair_complete,5,1,0,2,2,false
4,63.34179560060263,repair_complete,5,2,0,1,1,false
4,63.58510439364081,repair_complete,5,3,0,0,0,false
4,64.43443638756041,machine_failure_start_repair,5,2,0,1,1,false
4,64.53615711144687,repair_complete,5,3,0,0,0,false
4,65.43833393780996,machine_failure_start_repair,5,2,0,1,1,false
4,67.59665807593142,repair_complete,5,3,0,0,0,false
4,68.12022066542532,machine_failure_start_repair,5,2,0,1,1,false
4,68.79865562083401,repair_complete,5,3,0,0,0,false
4,74.9926808110987,machine_failure_start_repair,5,2,0,1,1,false
4,76.39140588065014,machine_failure_start_repair,5,1,0,2,2,false
4,77.40305277087951,machine_failure_start_repair,5,0,0,3,3,false
4,77.42658300934438,system_failure,5,0,0,3,3,true
