time,S,I,R
91.0,1.7150542621851474e-12,0.112192998194678,999.8878070018043
91.5,1.7057043335631086e-12,0.10672546045322251,999.8932745395457
92.0,1.6968543473884542e-12,0.10152376850080795,999.8984762314982
92.5,1.688475390703855e-12,0.09657433226170234,999.9034256677373
93.0,1.6805410577825306e-12,0.09186436479252003,999.9081356352065
93.5,1.6730258048121523e-12,0.08738274462978639,999.9126172553692
94.0,1.6659072421817002e-12,0.0831190789458209,999.9168809210531
94.5,1.6591641898326125e-12,0.07906327809616233,999.9209367219029
95.0,1.6527763531845828e-12,0.07520559022142587,999.9247944097776
95.5,1.6467243231355609e-12,0.0715366012473033,999.9284633987517
96.0,1.640989576061752e-12,0.06804723488456271,999.9319527651145
96.5,1.6355544738176178e-12,0.06472875262904874,999.93527124737
97.0,1.6304022637358752e-12,0.06157275376168247,999.9384272462373
97.5,1.6255170786274972e-12,0.05857117534846138,999.9414288246505
98.0,1.6208839367817135e-12,0.05571629224045969,999.9442837077586
98.5,1.6164887419660085e-12,0.053000717073827794,999.9469992829252
99.0,1.6123182834261223e-12,0.050417400269792224,999.9495825997293
99.5,1.6083602358860526e-12,0.04795963003465695,999.9520403699644
100.0,1.6046031595480511e-12,0.04562103235980151,999.9543789676393
