time,S,I,R
77.0,1.5330505124788866e-12,1.077801864840055e-7,999.9999998922193
77.5,1.533050488811341e-12,9.234198248152299e-8,999.9999999076575
78.0,1.5330504662453556e-12,7.762231540805752e-8,999.9999999223772
78.5,1.5330504454856033e-12,6.40808418408584e-8,999.9999999359187
79.0,1.5330504269902772e-12,5.2016439668677116e-8,999.9999999479832
79.5,1.5330504110906874e-12,4.1645221844345955e-8,999.9999999583544
80.0,1.533050397991262e-12,3.3100536384780066e-8,999.999999966899
80.5,1.5330503877695464e-12,2.6432966370978228e-8,999.9999999735666
81.0,1.5330503803762035e-12,2.1610329948016872e-8,999.9999999783893
81.5,1.5330503756350136e-12,1.851768032506329e-8,999.9999999814819
82.0,1.5330503732428753e-12,1.6957305775351135e-8,999.9999999830422
82.5,1.5330503727698038e-12,1.6648729636221484e-8,999.9999999833508
83.0,1.5330503736589325e-12,1.7228710309058746e-8,999.9999999827709
83.5,1.5330503752265118e-12,1.8251241259378518e-8,999.9999999817483
84.0,1.53305037666191e-12,1.918755101673353e-8,999.999999980812
84.5,1.533050377027613e-12,1.9426103174783946e-8,999.9999999805734
85.0,1.5330503752592242e-12,1.8272596391274586e-8,999.999999981727
85.5,1.533050371063003e-12,1.553542526032764e-8,999.9999999844641
86.0,1.5330503661758105e-12,1.234753664063544e-8,999.999999987652
86.5,1.5330503610397399e-12,8.997305712566266e-9,999.9999999910023
87.0,1.5330503559732754e-12,5.692478367936475e-9,999.9999999943071
87.5,1.53305035124778e-12,2.6100630913538584e-9,999.9999999973895
88.0,1.5330503470874943e-12,-1.0366903978261877e-10,1000.0000000001032
88.5,1.533050343669537e-12,-2.3331843552822895e-9,1000.0000000023327
89.0,1.5330503411239047e-12,-3.993686592162975e-9,1000.0000000039933
89.5,1.5330503395334729e-12,-5.03111689465103e-9,1000.0000000050308
90.0,1.5330503389339937e-12,-5.42215381418268e-9,1000.0000000054217
90.5,1.5330503393140986e-12,-5.174213309400961e-9,1000.0000000051738
91.0,1.533050340615296e-12,-4.325448746157945e-9,1000.000000004325
91.5,1.5330503427319735e-12,-2.9447508975150097e-9,1000.0000000029444
92.0,1.533050345511396e-12,-1.1317479437414106e-9,1000.0000000011313
92.5,1.5330503487537064e-12,9.831945276830951e-10,999.9999999990164
93.0,1.533050352211926e-12,3.2389735220760955e-9,999.9999999967606
93.5,1.533050355591954e-12,5.44374863753759e-9,999.9999999945559
94.0,1.5330503585525677e-12,7.374942064966333e-9,999.9999999926247
94.5,1.5330503607054224e-12,8.779238588052711e-9,999.9999999912203
95.0,1.5330503616150513e-12,9.372585583269644e-9,999.999999990627
95.5,1.533050360798866e-12,8.840193019887664e-9,999.9999999911594
96.0,1.5330503589092253e-12,7.607591356134433e-9,999.999999992392
96.5,1.5330503572680172e-12,6.5370406174716136e-9,999.9999999934626
97.0,1.5330503558557016e-12,5.61579527169687e-9,999.9999999943838
97.5,1.5330503546467093e-12,4.827176476034987e-9,999.9999999951724
98.0,1.533050353615838e-12,4.154744913265049e-9,999.9999999958449
98.5,1.5330503527382524e-12,3.582300791720445e-9,999.9999999964173
99.0,1.5330503519894845e-12,3.0938838452888495e-9,999.9999999969057
99.5,1.533050351345434e-12,2.67377333341217e-9,999.9999999973257
100.0,1.533050350782367e-12,2.3064880410867833e-9,999.9999999976931
